StockCode,Description
90022,EDWARDIAN DROP EARRINGS JET BLACK
90023,FILIGREE DIAMANTE EARRINGS
90027C,GLASS BEAD HOOP EARRINGS GREEN
90027D,GLASS BEAD HOOP EARRINGS AMETHYST
90028,NEW BAROQUE LARGE NECKLACE BLK/WHIT
90030B,RED KUKUI COCONUT SEED NECKLACE
90030C,BROWN KUKUI COCONUT SEED NECKLACE
90032,IVORY SHELL HEART NECKLACE
90033,IVORY SHELL HEART EARRINGS
90036C,"FLOWER GLASS GARLAND NECKL.36""BLUE"
90036D,"FLOWER GLASS GARLAND NECKL.36""BLACK"
90036E,"FLOWER GLASS GARLD NECKL36""AMETHYST"
90036F,"FLOWER GLASS GARLD NECKL36""TURQUOIS"
90037C,TINY CRYSTAL BRACELET BLUE
90038A,GLASS AND PAINTED BEADS BRACELET TO
90038B,GLASS AND PAINTED BEADS BRACELET OL
90039B,FIRE POLISHED GLASS BRACELET MONTAN
90039C,FIRE POLISHED GLASS BRACELET BLACK
90039D,FIRE POLISHED GLASS BRACELET GREEN
90040A,MURANO STYLE GLASS BRACELET RED
90040B,MURANO STYLE GLASS BRACELET BLACK
90040C,MURANO STYLE GLASS BRACELET GOLD
90042C,FRESHWATER PEARL BRACELET IVORY
90050,CRACKED GLAZE NECKLACE IVORY
90051,CRACKED GLAZE NECKLACE RED
90054,CRACKED GLAZE EARRINGS RED
90055,CRACKED GLAZE EARRINGS BROWN
90057,DIAMANTE RING ASSORTED IN BOX.
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY
90058B,CRYSTAL STUD EARRINGS ASSORTED COL 
90059A,DIAMANTE HAIR GRIP PACK/2 CRYSTAL
90059B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA
90059D,DIAMANTE HAIR GRIP PACK/2 PERIDOT
90059E,DIAMANTE HAIR GRIP PACK/2 RUBY
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE
90060F,FIRE POLISHED GLASS NECKL GREEN
90062,CARNIVAL BRACELET
90063A,WHITE VINT ART DECO CRYSTAL NECKLAC
90063B,BLACK VINT ART DEC CRYSTAL NECKLACE
90064A,WHITE VINTAGE CRYSTAL EARRINGS
90064B,BLACK VINTAGE  CRYSTAL EARRINGS
90065A,WHITE VINTAGE CRYSTAL BRACELET
90067A,PINK VINTAGE VICTORIAN EARRINGS
90070,RUBY GLASS CLUSTER BRACELET
90071,RUBY GLASS CLUSTER EARRINGS
90072,RUBY DROP CHANDELIER EARRINGS
90073,VINTAGE ENAMEL & CRYSTAL EARRINGS
90081A,LILY BROOCH AMETHYST COLOUR
90081C,LILY BROOCH OLIVE COLOUR
90082A,DIAMANTE BOW BROOCH GREEN COLOUR
90082B,DIAMANTE BOW BROOCH RED COLOUR
90082D,DIAMANTE BOW BROOCH BLACK COLOUR
90083,CRYSTAL CZECH CROSS PHONE CHARM
90085,CRYSTAL STILETTO PHONE CHARM
90086,CRYSTAL FROG PHONE CHARM
90087,CRYSTAL SEA HORSE PHONE CHARM
90089,PINK CRYSTAL SKULL PHONE CHARM
90093,CLEAR CRYSTAL STAR PHONE CHARM
90094,NECKLACE+BRACELET SET FRUIT SALAD 
90096,NECKLACE+BRACELET SET BLUE BLOSSOM
90098,NECKLACE+BRACELET PINK BUTTERFLY
90099,NECKLACE+BRACELET SET BLUE HIBISCUS
90101,WHITE FRANGIPANI NECKLACE
90103,PURPLE FRANGIPANI NECKLACE
90104,PURPLE FRANGIPANI HAIRCLIP
90108,BLUE BLOSSOM HAIR CLIP
90114,SUMMER DAISIES BAG CHARM
90115,SUMMER BUTTERFLIES BAG CHARM
90116,FRUIT SALAD BAG CHARM
90118,PINK DAISY BAG CHARM
90119,METALIC LEAVES BAG CHARMS
90120B,BLUE MURANO TWIST BRACELET
90120C,GREEN MURANO TWIST BRACELET
90120D,WHITE MURANO TWIST BRACELET
90122A,PINK CRYSTAL+GLASS BRACELET
90122B,JADE CRYSTAL+GLASS BRACELET
90122C,TURQUOISE CRYSTAL+GLASS BRACELET
90123A,PINK HEART OF GLASS BRACELET
90123B,TURQUOISE HEART OF GLASS BRACELET
90123C,GREEN HEART OF GLASS BRACELET
90123D,WHITE HEART OF GLASS BRACELET
90124A,PINK MURANO TWIST NECKLACE
90124B,BLUE MURANO TWIST NECKLACE
90124C,GREEN MURANO TWIST NECKLACE
90125A,PINK BERTIE GLASS BEAD BAG CHARM
90125B,AQUA BERTIE GLASS BEAD BAG CHARM
90125C,TURQUOISE BERTIE GLASS BEAD CHARM
90125D,PURPLE BERTIE GLASS BEAD BAG CHARM
90125E,AMBER BERTIE GLASS BEAD BAG CHARM
90129A,PINK GLASS TASSLE BAG CHARM 
90129B,TURQUOISE GLASS TASSLE BAG CHARM 
90129C,GREEN GLASS TASSLE BAG CHARM
90129D,AMBER GLASS TASSLE BAG CHARM
90129E,PURPLE GLASS TASSLE BAG CHARM
90129F,RED GLASS TASSLE BAG CHARM
90130A,WHITE STONE/CRYSTAL EARRINGS
90130B,TURQ STONE/CRYSTAL EARRINGS
90130C,GREEN STONE/CRYSTAL EARRINGS
90133,TEAL/FUSCHIA COL BEAD NECKLACE
90134,OLD ROSE COMBO BEAD NECKLACE
90138,WHITE/PINK MINI CRYSTALS NECKLACE
90141A,GREEN PENDANT TRIPLE SHELL NECKLACE
90141C,TURQ PENDANT TRIPLE SHELL NECKLACE
90143,SILVER BRACELET W PASTEL FLOWER
90144,SILVER DROP EARRINGS WITH FLOWER
90145,SILVER HOOP EARRINGS WITH FLOWER
90146,FINE SILVER NECKLACE W PASTEL FLOWE
90147,CHUNKY SILVER NECKLACE PASTEL FLOWE
90148,LONG SILVER NECKLACE PASTEL FLOWER
90152A,SILVER/NAT SHELL NECKLACE W PENDANT
90154,LAZER CUT NECKLACE W PASTEL BEADS
90155,RESIN NECKLACE W PASTEL BEADS
90157,RIVIERA NECKLACE
90158,ST TROPEZ NECKLACE
90159,COTE D'AZURE NECKLACE
90160A,PURPLE BOUDICCA LARGE BRACELET
90160B,RED BOUDICCA LARGE BRACELET
90160C,TURQ+RED BOUDICCA LARGE BRACELET
90160D,PINK BOUDICCA LARGE BRACELET
90161A,ANT COPPER RED BOUDICCA BRACELET
90161B,ANT COPPER TURQ BOUDICCA BRACELET
90161C,ANT COPPER LIME BOUDICCA BRACELET
90161D,ANT COPPER PINK BOUDICCA BRACELET
90162B,ANT SILVER LIME GREEN BOUDICCA RING
90162C,ANT SILVER FUSCHIA BOUDICCA RING
90162D,ANT SILVER PURPLE BOUDICCA RING
90163A,PINK ROSEBUD & PEARL NECKLACE
90163B,WHITE ROSEBUD & PEARL NECKLACE
90164A,PINK ROSEBUD PEARL BRACELET
90164B,WHITE  ROSEBUD PEARL BRACELET
90165A,PINK ROSEBUD PEARL EARRINGS
90165B,WHITE ROSEBUD  PEARL EARRINGS
90166,PINK & WHITE ROSEBUD RING
90168,2 DAISIES HAIR COMB
90169,DAISY HAIR COMB
90170,DAISY HAIR BAND
90173,PAIR BUTTERFLY HAIR CLIPS
90174,BUTTERFLY HAIR BAND
90175A,WHITE GLASS CHUNKY CHARM BRACELET
90175B,PINK GLASS CHUNKY CHARM BRACELET
90175C,BLUE GLASS CHUNKY CHARM BRACELET
90175D,TIGRIS EYE CHUNKY CHARM BRACELET
90176D,DIAMANTE NECKLACE PURPLE
90177A,CLASSIC DIAMANTE EARRINGS JET
90177B,DROP DIAMANTE EARRINGS BLACK DIAMON
90177C,DROP DIAMANTE EARRINGS CRYSTAL
90177D,DROP DIAMANTE EARRINGS PURPLE
90177E,DROP DIAMANTE EARRINGS GREEN
90178A,AMBER CHUNKY GLASS+BEAD NECKLACE
90179A,AMBER FINE BEAD NECKLACE W TASSEL
90179C,BLACK FINE BEAD NECKLACE W TASSEL
90180A,BLACK+WHITE NECKLACE W TASSEL
90180B,PURPLE AMETHYST NECKLACE W TASSEL
90181A,AMBER GLASS/SHELL/PEARL NECKLACE
90181B,AMETHYST GLASS/SHELL/PEARL NECKLACE
90182A,AMBER 3 BEAD DROP EARRINGS
90182B,AMETHYST 3 BEAD DROP EARRINGS
90182C,BLACK 3 BEAD DROP EARRINGS
90183A,AMBER DROP EARRINGS W LONG BEADS
90183B,AMETHYST DROP EARRINGS W LONG BEADS
90183C,BLACK DROP EARRINGS W LONG BEADS
90184A,AMBER CHUNKY BEAD BRACELET W STRAP
90184B,AMETHYST CHUNKY BEAD BRACELET W STR
90184C,BLACK CHUNKY BEAD BRACELET W STRAP
90185A,AMBER DIAMANTE EXPANDABLE RING
90185B,AMETHYST DIAMANTE EXPANDABLE RING
90185C,BLACK DIAMANTE EXPANDABLE RING
90185D,CRYSTAL DIAMANTE EXPANDABLE RING
90186A,AMETHYST HOOP EARRING FLORAL LEAF
90186B,CRYSTAL HOOP EARRING FLORAL LEAF
90187B,GREEN DROP EARRINGS W BEAD CLUSTER
90188,DROP EARRINGS W FLOWER & LEAF
90190A,SILVER/CRYSTAL DROP EARRINGS W LEAF
90190B,GOLD/AMBER DROP EARRINGS W LEAF
90190C,SILVER/AMETHYST DROP EARRINGS LEAF
90191,SILVER LARIAT 40CM
90192,JADE DROP EARRINGS W FILIGREE
90194,SILVER LARIAT BLACK STONE EARRINGS
90195A,PURPLE GEMSTONE BRACELET
90196A,PURPLE GEMSTONE NECKLACE 45CM
90196B,BLACK GEMSTONE NECKLACE 45CM
90197B,BLACK GLASS BRACELET W HEART CHARMS
90198A,VINTAGE ROSE BEAD BRACELET RASPBERR
90198B,VINTAGE ROSE BEAD BRACELET BLACK
90199A,5 STRAND GLASS NECKLACE BLACK
90199B,5 STRAND GLASS NECKLACE AMETHYST
90199C,5 STRAND GLASS NECKLACE CRYSTAL
90199D,5 STRAND GLASS NECKLACE AMBER
90200A,PURPLE SWEETHEART BRACELET
90200B,BLACK SWEETHEART BRACELET
90200C,BLUE SWEETHEART BRACELET
90200D,PINK SWEETHEART BRACELET
90200E,GREEN SWEETHEART BRACELET
90201A,PURPLE ENAMEL FLOWER RING
90201B,BLACK ENAMEL FLOWER RING
90201C,RED ENAMEL FLOWER RING
90201D,GREEN ENAMEL FLOWER RING
90202A,PURPLE ENAMEL FLOWER HAIR TIE
90202B,WHITE ENAMEL FLOWER HAIR TIE
90202C,GREEN ENAMEL FLOWER HAIR TIE
90202D,PINK ENAMEL FLOWER HAIR TIE
90204,PAIR OF ENAMEL BUTTERFLY HAIRCLIP
90205A,LARGE MINT DIAMANTE HAIRSLIDE
90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE
90206A,GOLD DIAMANTE STAR BROOCH
90206C,CRYSTAL DIAMANTE STAR BROOCH
90208,PAIR OF PINK FLOWER CLUSTER SLIDE
90209B,GREEN ENAMEL+GLASS HAIR COMB
90209C,PINK ENAMEL+GLASS HAIR COMB
90210A,GREY ACRYLIC FACETED BANGLE
90210B,CLEAR ACRYLIC FACETED BANGLE
90210C,RED   ACRYLIC FACETED BANGLE
90210D,PURPLE ACRYLIC FACETED BANGLE
90211A,DIAMOND LAS VEGAS NECKLACE 45CM
90211B,JET BLACK LAS VEGAS NECKLACE 45CM
90212B,JET BLACK LAS VEGAS BRACELET ROUND
90214A,"LETTER ""A"" BLING KEY RING"
90214B,"LETTER ""B"" BLING KEY RING"
90214C,"LETTER ""C"" BLING KEY RING"
90214D,"LETTER ""D"" BLING KEY RING"
90214E,"LETTER ""E"" BLING KEY RING"
90214F,"LETTER ""F"" BLING KEY RING"
90214G,"LETTER ""G"" BLING KEY RING"
90214H,"LETTER ""H"" BLING KEY RING"
90214I,"LETTER ""I"" BLING KEY RING"
90214J,"LETTER ""J"" BLING KEY RING"
90214K,"LETTER ""K"" BLING KEY RING"
90214L,"LETTER ""L"" BLING KEY RING"
90214M,"LETTER ""M"" BLING KEY RING"
90214N,"LETTER ""N"" BLING KEY RING"
90214O,"LETTER ""O"" BLING KEY RING"
90214P,"LETTER ""P"" BLING KEY RING"
90214R,"LETTER ""R"" BLING KEY RING"
90214S,"LETTER ""S"" BLING KEY RING"
90214T,"LETTER ""T"" BLING KEY RING"
90214V,"LETTER ""V"" BLING KEY RING"
90214W,"LETTER ""W"" BLING KEY RING"
90214Y,"LETTER ""Y"" BLING KEY RING"
90214Z,"LETTER ""Z"" BLING KEY RING"
